epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,2789.09,0.97762,1.68608,0.90964,1.14063,0,0.67995,0.64787,0.67399,0.42664,0.6861,0.65163,0.67802,0.35247,1.28128,3.27066,1.14522,1.35919,0,0.000792125,0.000792125,0.000792125
39,2862.03,0.96649,1.66275,0.88435,1.13575,0,0.68389,0.64498,0.68705,0.42483,0.65908,0.62111,0.64569,0.33063,1.30204,3.2987,1.13304,1.35418,0,0.00077975,0.00077975,0.00077975
40,2933.14,0.9824,1.66703,0.89723,1.14197,0,0.69766,0.66233,0.6571,0.41399,0.70251,0.66633,0.65714,0.32966,1.30923,2.66686,1.21505,1.34283,0,0.000767375,0.000767375,0.000767375
41,3004.44,0.97281,1.65749,0.88865,1.14081,0,0.72457,0.65748,0.66808,0.42874,0.72689,0.64994,0.66321,0.35232,1.2831,2.7051,1.16282,1.35976,0,0.000755,0.000755,0.000755
42,3076.98,0.95565,1.6594,0.88106,1.13627,0,0.71008,0.64661,0.67038,0.4367,0.70138,0.64806,0.66588,0.34562,1.33229,3.64032,1.22757,1.37675,0,0.000742625,0.000742625,0.000742625
43,3149.97,0.97236,1.66414,0.88582,1.13795,0,0.71419,0.67902,0.71277,0.45453,0.75145,0.67009,0.72174,0.37918,1.26573,3.32883,1.10095,1.31478,0,0.00073025,0.00073025,0.00073025
44,3222.61,0.9394,1.6238,0.85401,1.12609,0,0.70103,0.66667,0.68536,0.42567,0.70195,0.66841,0.68283,0.33773,1.29973,2.93308,1.16065,1.36235,0,0.000717875,0.000717875,0.000717875
45,3296.07,0.94111,1.62103,0.8415,1.12852,0,0.69333,0.65339,0.65595,0.40938,0.70067,0.66121,0.67429,0.33774,1.30725,3.33818,1.18248,1.33563,0,0.0007055,0.0007055,0.0007055
46,3368.32,0.9427,1.61932,0.8568,1.12298,0,0.74617,0.66302,0.69424,0.43723,0.75623,0.68238,0.69899,0.35078,1.28238,3.33088,1.12519,1.34562,0,0.000693125,0.000693125,0.000693125
47,3438.93,0.93411,1.62191,0.83293,1.11718,0,0.73675,0.67031,0.70853,0.44743,0.72338,0.67058,0.69154,0.36979,1.2483,2.11582,1.14607,1.30943,0,0.00068075,0.00068075,0.00068075
48,3510.96,0.92804,1.60142,0.82173,1.11379,0,0.66834,0.70689,0.66433,0.42113,0.6816,0.70766,0.66459,0.34654,1.30293,3.4749,1.1296,1.37498,0,0.000668375,0.000668375,0.000668375
49,3583.18,0.91784,1.59809,0.81345,1.10717,0,0.76015,0.66118,0.73621,0.46684,0.72138,0.67769,0.72409,0.39042,1.22725,3.30481,1.11133,1.28546,0,0.000656,0.000656,0.000656
50,3655.21,0.9181,1.56509,0.81618,1.11201,0,0.74526,0.71505,0.73777,0.46079,0.71869,0.72092,0.7308,0.3598,1.2319,3.01994,1.02613,1.33339,0,0.000643625,0.000643625,0.000643625
51,3727.25,0.9059,1.56208,0.80462,1.10856,0,0.732,0.7025,0.72058,0.45198,0.74367,0.69872,0.71638,0.36669,1.26539,3.71266,1.08996,1.3268,0,0.00063125,0.00063125,0.00063125
