epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,4589.68,0.98114,1.7014,0.93767,1.15822,0,0.70448,0.70405,0.73872,0.47493,0.70302,0.69164,0.72256,0.3864,1.25968,2.55339,1.07653,1.32407,0,0.0005842,0.0005842,0.0005842
44,4678.43,0.97429,1.67814,0.93042,1.15338,0,0.71674,0.70369,0.71021,0.44745,0.71827,0.68654,0.69761,0.36195,1.25863,2.65218,1.11618,1.32037,0,0.0005743,0.0005743,0.0005743
45,4766.91,0.96398,1.68549,0.90095,1.14368,0,0.7977,0.64487,0.70924,0.46246,0.77983,0.63759,0.69394,0.3692,1.24325,2.78314,1.10864,1.31398,0,0.0005644,0.0005644,0.0005644
46,4853.93,0.97872,1.69133,0.91658,1.15329,0,0.75488,0.68398,0.73694,0.48436,0.76178,0.69059,0.73511,0.4013,1.22059,2.2628,1.03518,1.29171,0,0.0005545,0.0005545,0.0005545
47,4942.8,0.95145,1.65898,0.8887,1.13986,0,0.76223,0.70768,0.73493,0.45879,0.76755,0.70706,0.73581,0.39414,1.24664,2.49403,1.14087,1.3046,0,0.0005446,0.0005446,0.0005446
48,5031.83,0.95745,1.67239,0.88647,1.13573,0,0.71143,0.69107,0.71778,0.45102,0.74491,0.68894,0.71872,0.38083,1.26623,2.56343,1.11108,1.3313,0,0.0005347,0.0005347,0.0005347
49,5120.82,0.94476,1.64122,0.86537,1.13022,0,0.73506,0.65904,0.68598,0.43909,0.7493,0.66913,0.70024,0.37133,1.25281,2.46341,1.13093,1.32534,0,0.0005248,0.0005248,0.0005248
50,5207.06,0.93231,1.62377,0.86964,1.12675,0,0.74095,0.64979,0.70443,0.45053,0.71989,0.63185,0.68646,0.35864,1.27881,2.59582,1.11438,1.36189,0,0.0005149,0.0005149,0.0005149
51,5294.87,0.93321,1.59552,0.85392,1.12527,0,0.75501,0.67216,0.71838,0.4583,0.75838,0.67578,0.72023,0.38544,1.26556,2.51525,1.12234,1.31496,0,0.000505,0.000505,0.000505
52,5385.03,0.92451,1.6206,0.85387,1.11977,0,0.75298,0.69682,0.73789,0.46845,0.74268,0.69868,0.71731,0.38405,1.23704,2.52423,1.08134,1.30016,0,0.0004951,0.0004951,0.0004951
53,5474.53,0.92231,1.60806,0.83565,1.1171,0,0.69045,0.73595,0.75455,0.47389,0.69408,0.71226,0.7159,0.37018,1.24635,2.4626,1.0721,1.34016,0,0.0004852,0.0004852,0.0004852
54,5562.63,0.92593,1.6056,0.839,1.12755,0,0.75285,0.66341,0.7207,0.46128,0.74562,0.65895,0.70087,0.37957,1.2326,2.4897,1.09386,1.28862,0,0.0004753,0.0004753,0.0004753
